Decade,Probands_region,MeanADR,CIlower,CIupper
1640,Beauce,0.0005039966907630285,0.0005035392749830133,0.0005044541065430438
1640,Montreal,0.0007181008260728444,0.0007179195988957643,0.0007182820532499245
1640,SLSJ,0.0005015471654460095,0.0005013018360340155,0.0005017924948580036
1650,Beauce,0.0005359084536272187,0.0005353853312235626,0.0005364315760308748
1650,Montreal,0.0007456716530859577,0.0007454331632969195,0.0007459101428749958
1650,SLSJ,0.0006559416271258634,0.0006555247244653803,0.0006563585297863466
1660,Beauce,0.0004796919870832581,0.0004791205093171082,0.00048026346484940797
1660,Montreal,0.0008058925726960905,0.0008056532846746799,0.0008061318607175011
1660,SLSJ,0.0004537474161307197,0.0004534945966006458,0.00045400023566079354
1670,Beauce,0.0008690426223832389,0.0008682444906817602,0.0008698407540847176
1670,Montreal,0.001129214438980601,0.001128919409859223,0.0011295094681019787
1670,SLSJ,0.001037680273167495,0.0010370660352827601,0.0010382945110522298
1680,Beauce,0.001219816649298853,0.0012182212544275025,0.0012214120441702036
1680,Montreal,0.0018814152327237517,0.0018808751097522773,0.0018819553556952261
1680,SLSJ,0.0015031925914742441,0.0015020703918116158,0.0015043147911368725
1690,Beauce,0.001225792848773451,0.0012246945191300156,0.0012268911784168862
1690,Montreal,0.002752484641674205,0.00275165357895896,0.00275331570438945
1690,SLSJ,0.0012205339426408517,0.0012196378240276109,0.0012214300612540924
1700,Beauce,0.001946411707977631,0.0019445195454578484,0.0019483038704974137
1700,Montreal,0.003872392464431952,0.003871312002552124,0.0038734729263117805
1700,SLSJ,0.003367126104678912,0.0033647342267283547,0.0033695179826294694
1710,Beauce,0.0024797563513243113,0.002477276096812506,0.0024822366058361166
1710,Montreal,0.006367239505578231,0.006365302069180452,0.006369176941976011
1710,SLSJ,0.003289206513941552,0.0032864489002496387,0.003291964127633465
1720,Beauce,0.0031517999652612575,0.003148602515633861,0.003154997414888654
1720,Montreal,0.010093660360826111,0.010090508981931224,0.010096811739720999
1720,SLSJ,0.0045116650863417365,0.00450767224444713,0.004515657928236343
1730,Beauce,0.0047407014502609925,0.00473636733997071,0.004745035560551275
1730,Montreal,0.015682909846688204,0.01567815697450597,0.015687662718870437
1730,SLSJ,0.005754786623905803,0.005749671224659804,0.005759902023151802
1740,Beauce,0.0055435510353935855,0.005538515063037476,0.005548587007749695
1740,Montreal,0.020904241615319483,0.02089776484159925,0.020910718389039715
1740,SLSJ,0.007333385447963167,0.007326595247856212,0.007340175648070122
1750,Beauce,0.007036801553553519,0.007030522890982328,0.0070430802161247094
1750,Montreal,0.0327266676754028,0.03271602987200501,0.032737305478800584
1750,SLSJ,0.010013178077365799,0.010004799368082788,0.01002155678664881
1760,Beauce,0.01079479191583847,0.010785052777043103,0.010804531054633838
1760,Montreal,0.044156134196592096,0.04414065082461557,0.044171617568568626
1760,SLSJ,0.009996091262656227,0.00998610134357633,0.010006081181736124
1770,Beauce,0.009031463041508533,0.009024262488386748,0.009038663594630318
1770,Montreal,0.06111301208502918,0.06108922565499419,0.06113679851506417
1770,SLSJ,0.01314483117395706,0.013130717646112131,0.013158944701801989
1780,Beauce,0.013959024612652011,0.013948643609047278,0.013969405616256744
1780,Montreal,0.08596374289532581,0.08592583725202176,0.08600164853862986
1780,SLSJ,0.01696696630665333,0.016951047056945903,0.01698288555636076
1790,Beauce,0.019707486820362635,0.019691335387482193,0.019723638253243077
1790,Montreal,0.10949004363420933,0.10943500285294024,0.10954508441547843
1790,SLSJ,0.01677866653985856,0.016762811892911608,0.01679452118680551
1800,Beauce,0.019839989059235938,0.019825872030019003,0.019854106088452873
1800,Montreal,0.14635629524594673,0.146275603057923,0.14643698743397046
1800,SLSJ,0.019991110046932044,0.019972044368460003,0.020010175725404086
1810,Beauce,0.028713434894627965,0.028694161234293285,0.028732708554962644
1810,Montreal,0.1873024084546884,0.18718802946271876,0.18741678744665805
1810,SLSJ,0.02700947967448257,0.02698688435175231,0.02703207499721283
1820,Beauce,0.03882839105092711,0.03880187203673079,0.03885491006512342
1820,Montreal,0.21458406880082692,0.21444091201809914,0.2147272255835547
1820,SLSJ,0.031371247339298046,0.03134506448837286,0.03139743019022323
1830,Beauce,0.0475461188066414,0.047515099207697115,0.04757713840558568
1830,Montreal,0.26434290822932144,0.26415108247238006,0.2645347339862628
1830,SLSJ,0.035317243223234054,0.03529179968828888,0.035342686758179226
1840,Beauce,0.06646402075214713,0.06642026921920348,0.06650777228509079
1840,Montreal,0.29821332826150054,0.29796633482717205,0.29846032169582903
1840,SLSJ,0.053522025168410925,0.05347781662188699,0.05356623371493486
1850,Beauce,0.08175072858902409,0.08169276493352778,0.08180869224452039
1850,Montreal,0.33705558909121325,0.336764938125221,0.3373462400572055
1850,SLSJ,0.06181906271359137,0.06177355304269055,0.06186457238449219
1860,Beauce,0.11214661052971327,0.11206211918902882,0.11223110187039771
1860,Montreal,0.3810983798617042,0.38070834798088643,0.38148841174252196
1860,SLSJ,0.08182790553181385,0.08176731417004682,0.08188849689358088
1870,Beauce,0.1489265584236835,0.1488059039148827,0.1490472129324843
1870,Montreal,0.43384288400192433,0.43335268419262374,0.43433308381122493
1870,SLSJ,0.11818718243333748,0.11810136733388277,0.11827299753279219
1880,Beauce,0.19136703032057578,0.19121128641255164,0.19152277422859992
1880,Montreal,0.47392829846902296,0.47331096482515994,0.474545632112886
1880,SLSJ,0.16217259838499157,0.16204605673733885,0.16229914003264428
1890,Beauce,0.2610727231409513,0.2608309269852071,0.2613145192966955
1890,Montreal,0.5247906867844363,0.5239592484041148,0.5256221251647578
1890,SLSJ,0.24134314553362676,0.24114581767299934,0.2415404733942542
1900,Beauce,0.32658608138691936,0.32627414985491043,0.3268980129189283
1900,Montreal,0.571106456635374,0.5700706502320737,0.5721422630386742
1900,SLSJ,0.33125015956192294,0.33095385934524957,0.3315464597785963
1910,Beauce,0.4329528054690696,0.43248297726506396,0.43342263367307526
1910,Montreal,0.6252068747052698,0.623700899602818,0.6267128498077216
1910,SLSJ,0.45307005113287313,0.45255514488335935,0.4535849573823869
1920,Beauce,0.594503202557308,0.5933720855380251,0.595634319576591
1920,Montreal,0.6883666741388013,0.6860781110227991,0.6906552372548034
1920,SLSJ,0.6337230769938973,0.6321060800097312,0.6353400739780634
1930,Beauce,0.6322885860187043,0.6309461169282887,0.6336310551091199
1930,Montreal,0.7086385642516806,0.7061171927950277,0.7111599357083335
1930,SLSJ,0.6979616746794857,0.6955628448301804,0.700360504528791
1940,Beauce,0.6326868176793792,0.6311305319531517,0.6342431034056066
1940,Montreal,0.7080600456924449,0.7053803340672506,0.710739757317639
1940,SLSJ,0.6989110282129329,0.69651875191208,0.7013033045137859
